"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jul 02 18:00:22 CST 2021","Fri Jul 02 18:00:27 CST 2021","4951","caseobject","test_case","TestFangZhou","","","test_01_login[case1]",""
"broken","Fri Jul 02 18:00:29 CST 2021","Fri Jul 02 18:00:33 CST 2021","4114","caseobject","test_case","TestFangZhou","","","test_01_login[case2]",""
"broken","Fri Jul 02 18:00:15 CST 2021","Fri Jul 02 18:00:19 CST 2021","4239","caseobject","test_case","TestFangZhou","","","test_01_login[case0]",""
"broken","Fri Jul 02 18:00:36 CST 2021","Fri Jul 02 18:00:36 CST 2021","0","caseobject","test_case","TestFangZhou","","","test_02_brand_analyse",""
